date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2025-04-14,KXHIGHNY-25APR14-T61,KXHIGHNY-25APR14,Below 61F,61.0,,61.0,below,less,0.05,0,66.0,no,0,2526,0.0,0.01
2025-04-14,KXHIGHNY-25APR14-B61.5,KXHIGHNY-25APR14,61-63F,61.0,61.0,63.0,between,between,0.01,0,66.0,no,0,5942,0.0,0.01
2025-04-14,KXHIGHNY-25APR14-B63.5,KXHIGHNY-25APR14,63-65F,63.0,63.0,65.0,between,between,0.01,0,66.0,no,0,31521,0.0,0.01
2025-04-14,KXHIGHNY-25APR14-B65.5,KXHIGHNY-25APR14,65-67F,65.0,65.0,67.0,between,between,0.99,1,66.0,yes,100,23375,0.99,1.0
2025-04-14,KXHIGHNY-25APR14-B67.5,KXHIGHNY-25APR14,67-69F,67.0,67.0,69.0,between,between,0.01,0,66.0,no,0,17256,0.0,0.01
2025-04-14,KXHIGHNY-25APR14-T68,KXHIGHNY-25APR14,Above 68F,68.0,68.0,,above,greater,0.02,0,66.0,no,0,2568,0.0,0.01
2025-04-15,KXHIGHNY-25APR15-T62,KXHIGHNY-25APR15,Below 62F,62.0,,62.0,below,less,0.02,0,69.0,no,0,212,0.0,0.01
2025-04-15,KXHIGHNY-25APR15-B62.5,KXHIGHNY-25APR15,62-64F,62.0,62.0,64.0,between,between,0.01,0,69.0,no,0,1335,0.0,0.01
2025-04-15,KXHIGHNY-25APR15-B64.5,KXHIGHNY-25APR15,64-66F,64.0,64.0,66.0,between,between,0.01,0,69.0,no,0,5755,0.0,0.01
2025-04-15,KXHIGHNY-25APR15-B66.5,KXHIGHNY-25APR15,66-68F,66.0,66.0,68.0,between,between,0.01,0,69.0,no,0,13751,0.0,0.01
2025-04-15,KXHIGHNY-25APR15-B68.5,KXHIGHNY-25APR15,68-70F,68.0,68.0,70.0,between,between,0.99,1,69.0,yes,100,18248,0.99,1.0
