date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2023-07-23,HIGHNY-23JUL23-T83,Below 82F,,82.0,below,less,0.08,0,16,0,0,2023-07-23 02:00:00 UTC
2023-07-24,HIGHNY-23JUL24-T88,Above 89F,89.0,,above,greater,0.14,10,18,0,37,2023-07-24 04:00:00 UTC
2023-07-24,HIGHNY-23JUL24-B87.5,87-88F,87.0,88.0,between,between,0.31,28,34,10,12,2023-07-24 04:00:00 UTC
2023-07-24,HIGHNY-23JUL24-B85.5,85-86F,85.0,86.0,between,between,0.39,36,42,10,24,2023-07-24 04:00:00 UTC
2023-07-24,HIGHNY-23JUL24-B83.5,83-84F,83.0,84.0,between,between,0.14,11,17,0,786,2023-07-24 04:00:00 UTC
2023-07-24,HIGHNY-23JUL24-B81.5,81-82F,81.0,82.0,between,between,0.045,0,9,1,1,2023-07-24 01:00:00 UTC
2023-07-24,HIGHNY-23JUL24-T81,Below 80F,,80.0,below,less,0.075,0,15,0,0,2023-07-24 02:00:00 UTC
2023-07-25,HIGHNY-23JUL25-T90,Above 91F,91.0,,above,greater,,,,,,
2023-07-25,HIGHNY-23JUL25-B89.5,89-90F,89.0,90.0,between,between,0.135,3,24,0,198,2023-07-25 04:00:00 UTC
2023-07-25,HIGHNY-23JUL25-B87.5,87-88F,87.0,88.0,between,between,0.405,37,44,144,154,2023-07-25 04:00:00 UTC
2023-07-25,HIGHNY-23JUL25-B85.5,85-86F,85.0,86.0,between,between,0.395,36,43,0,10,2023-07-25 04:00:00 UTC
2023-07-25,HIGHNY-23JUL25-B83.5,83-84F,83.0,84.0,between,between,0.13,10,16,0,447,2023-07-25 04:00:00 UTC
2023-07-25,HIGHNY-23JUL25-T83,Below 82F,,82.0,below,less,0.075,0,15,0,0,2023-07-25 02:00:00 UTC
2023-07-26,HIGHNY-23JUL26-T89,Above 90F,90.0,,above,greater,0.575,15,100,0,66,2023-07-26 05:00:00 UTC
2023-07-26,HIGHNY-23JUL26-B88.5,88-89F,88.0,89.0,between,between,0.445,39,50,0,102,2023-07-26 05:00:00 UTC
2023-07-26,HIGHNY-23JUL26-B86.5,86-87F,86.0,87.0,between,between,0.28,15,41,0,513,2023-07-26 05:00:00 UTC
2023-07-26,HIGHNY-23JUL26-B84.5,84-85F,84.0,85.0,between,between,0.025,0,5,0,286,2023-07-26 04:00:00 UTC
2023-07-26,HIGHNY-23JUL26-B82.5,82-83F,82.0,83.0,between,between,,,,,,
2023-07-26,HIGHNY-23JUL26-T82,Below 81F,,81.0,below,less,,,,,,
2023-07-27,HIGHNY-23JUL27-T100,Above 101F,101.0,,above,greater,0.015,0,3,0,0,2023-07-27 00:00:00 UTC
2023-07-27,HIGHNY-23JUL27-B99.5,99-100F,99.0,100.0,between,between,0.25,5,45,109,781,2023-07-27 04:00:00 UTC
2023-07-27,HIGHNY-23JUL27-B97.5,97-98F,97.0,98.0,between,between,0.14,0,28,103,239,2023-07-27 04:00:00 UTC
2023-07-27,HIGHNY-23JUL27-B95.5,95-96F,95.0,96.0,between,between,0.275,21,34,103,239,2023-07-27 04:00:00 UTC
2023-07-27,HIGHNY-23JUL27-B93.5,93-94F,93.0,94.0,between,between,0.17,12,22,103,676,2023-07-27 04:00:00 UTC
2023-07-27,HIGHNY-23JUL27-T93,Below 92F,,92.0,below,less,0.195,6,33,103,241,2023-07-27 04:00:00 UTC
2023-07-28,HIGHNY-23JUL28-T97,Above 98F,98.0,,above,greater,0.495,0,99,0,45,2023-07-28 02:00:00 UTC
2023-07-28,HIGHNY-23JUL28-B96.5,96-97F,96.0,97.0,between,between,0.12,8,16,0,509,2023-07-28 03:00:00 UTC
2023-07-28,HIGHNY-23JUL28-B94.5,94-95F,94.0,95.0,between,between,0.355,28,43,0,85,2023-07-28 04:00:00 UTC
2023-07-28,HIGHNY-23JUL28-B92.5,92-93F,92.0,93.0,between,between,0.315,28,35,0,160,2023-07-28 03:00:00 UTC
